hour_of_year,month,hour,lrmer_co2e_c,synthetic
566,1,14,173.55188460897455,False
567,1,15,173.800436462698,False
568,1,16,223.33939000597715,False
569,1,17,310.29574977847113,False
570,1,18,319.0482866142592,False
571,1,19,318.40640155830874,False
572,1,20,312.5766607537096,False
573,1,21,304.7167902848796,False
574,1,22,303.89478620000364,False
575,1,23,313.74427787087683,False
576,1,0,316.1346014972296,False
577,1,1,315.7844206456894,False
578,1,2,314.4231727330503,False
579,1,3,316.28324315449163,False
580,1,4,317.3575603691424,False
581,1,5,315.7404423746368,False
582,1,6,310.94451838650144,False
583,1,7,227.49207780773082,False
584,1,8,180.23719697095333,False
585,1,9,181.11046627629355,False
586,1,10,187.01889146747556,False
587,1,11,187.11180398711753,False
588,1,12,193.6221677506387,False
589,1,13,173.7295454952311,False
590,1,14,173.55188460897455,False
591,1,15,173.800436462698,False
592,1,16,223.33939000597715,False
593,1,17,310.29574977847113,False
594,1,18,319.0482866142592,False
595,1,19,318.40640155830874,False
596,1,20,312.5766607537096,False
597,1,21,304.7167902848796,False
598,1,22,303.89478620000364,False
599,1,23,313.74427787087683,False
600,1,0,316.1346014972296,False
601,1,1,315.7844206456894,False
602,1,2,314.4231727330503,False
603,1,3,316.28324315449163,False
604,1,4,317.3575603691424,False
605,1,5,315.7404423746368,False
606,1,6,310.94451838650144,False
607,1,7,227.49207780773082,False
608,1,8,180.23719697095333,False
609,1,9,181.11046627629355,False
610,1,10,187.01889146747556,False
611,1,11,187.11180398711753,False
612,1,12,193.6221677506387,False
613,1,13,173.7295454952311,False
614,1,14,173.55188460897455,False
615,1,15,173.800436462698,False
616,1,16,223.33939000597715,False
617,1,17,310.29574977847113,False
618,1,18,319.0482866142592,False
619,1,19,318.40640155830874,False
620,1,20,312.5766607537096,False
621,1,21,304.7167902848796,False
622,1,22,303.89478620000364,False
623,1,23,313.74427787087683,False
624,1,0,316.1346014972296,False
625,1,1,315.7844206456894,False
626,1,2,314.4231727330503,False
627,1,3,316.28324315449163,False
628,1,4,317.3575603691424,False
629,1,5,315.7404423746368,False
630,1,6,310.94451838650144,False
631,1,7,227.49207780773082,False
632,1,8,180.23719697095333,False
633,1,9,181.11046627629355,False
634,1,10,187.01889146747556,False
635,1,11,187.11180398711753,False
636,1,12,193.6221677506387,False
637,1,13,173.7295454952311,False
638,1,14,173.55188460897455,False
639,1,15,173.800436462698,False
640,1,16,223.33939000597715,False
641,1,17,310.29574977847113,False
642,1,18,319.0482866142592,False
643,1,19,318.40640155830874,False
644,1,20,312.5766607537096,False
645,1,21,304.7167902848796,False
646,1,22,303.89478620000364,False
647,1,23,313.74427787087683,False
648,1,0,316.1346014972296,False
649,1,1,315.7844206456894,False
650,1,2,314.4231727330503,False
651,1,3,316.28324315449163,False
652,1,4,317.3575603691424,False
653,1,5,315.7404423746368,False
654,1,6,310.94451838650144,False
655,1,7,227.49207780773082,False
656,1,8,180.23719697095333,False
657,1,9,181.11046627629355,False
658,1,10,187.01889146747556,False
659,1,11,187.11180398711753,False
660,1,12,193.6221677506387,False
661,1,13,173.7295454952311,False
662,1,14,173.55188460897455,False
663,1,15,173.800436462698,False
664,1,16,223.33939000597715,False
665,1,17,310.29574977847113,False
666,1,18,319.0482866142592,False
667,1,19,318.40640155830874,False
668,1,20,312.5766607537096,False
669,1,21,304.7167902848796,False
670,1,22,303.89478620000364,False
671,1,23,313.74427787087683,False
672,1,0,316.1346014972296,False
673,1,1,315.7844206456894,False
674,1,2,314.4231727330503,False
675,1,3,316.28324315449163,False
676,1,4,317.3575603691424,False
677,1,5,315.7404423746368,False
678,1,6,310.94451838650144,False
679,1,7,227.49207780773082,False
680,1,8,180.23719697095333,False
681,1,9,181.11046627629355,False
682,1,10,187.01889146747556,False
683,1,11,187.11180398711753,False
684,1,12,193.6221677506387,False
685,1,13,173.7295454952311,False
686,1,14,173.55188460897455,False
687,1,15,173.800436462698,False
688,1,16,223.33939000597715,False
689,1,17,310.29574977847113,False
690,1,18,319.0482866142592,False
691,1,19,318.40640155830874,False
692,1,20,312.5766607537096,False
693,1,21,304.7167902848796,False
694,1,22,303.89478620000364,False
695,1,23,313.74427787087683,False
696,1,0,316.1346014972296,False
697,1,1,315.7844206456894,False
698,1,2,314.4231727330503,False
699,1,3,316.28324315449163,False
700,1,4,317.3575603691424,False
701,1,5,315.7404423746368,False
702,1,6,310.94451838650144,False
703,1,7,227.49207780773082,False
704,1,8,180.23719697095333,False
705,1,9,181.11046627629355,False
706,1,10,187.01889146747556,False
707,1,11,187.11180398711753,False
708,1,12,193.6221677506387,False
709,1,13,173.7295454952311,False
710,1,14,173.55188460897455,False
711,1,15,173.800436462698,False
712,1,16,223.33939000597715,False
713,1,17,310.29574977847113,False
714,1,18,319.0482866142592,False
715,1,19,318.40640155830874,False
716,1,20,312.5766607537096,False
717,1,21,304.7167902848796,False
718,1,22,303.89478620000364,False
719,1,23,313.74427787087683,False
720,1,0,316.1346014972296,False
721,1,1,315.7844206456894,False
722,1,2,314.4231727330503,False
723,1,3,316.28324315449163,False
724,1,4,317.3575603691424,False
725,1,5,315.7404423746368,False
726,1,6,310.94451838650144,False
727,1,7,227.49207780773082,False
728,1,8,180.23719697095333,False
729,1,9,181.11046627629355,False
730,1,10,187.01889146747556,False
731,1,11,187.11180398711753,False
732,1,12,193.6221677506387,False
733,1,13,173.7295454952311,False
734,1,14,173.55188460897455,False
735,1,15,173.800436462698,False
736,1,16,223.33939000597715,False
737,1,17,310.29574977847113,False
738,1,18,319.0482866142592,False
739,1,19,318.40640155830874,False
740,1,20,312.5766607537096,False
741,1,21,304.7167902848796,False
742,1,22,303.89478620000364,False
743,1,23,313.74427787087683,False
744,2,0,313.622391191355,False
745,2,1,315.7540760450616,False
746,2,2,317.09027923170396,False
747,2,3,325.8804854695732,False
748,2,4,318.9856058821759,False
749,2,5,307.0637023275575,False
750,2,6,307.48719155006864,False
751,2,7,217.84287338487752,False
752,2,8,179.1152232483948,False
753,2,9,171.6217410628094,False
754,2,10,176.54610649248025,False
755,2,11,172.3421754585051,False
756,2,12,179.47682540376402,False
757,2,13,172.23209064079325,False
758,2,14,176.16380246509726,False
759,2,15,186.61078454415585,False
760,2,16,199.96810466522487,False
761,2,17,303.0335441465007,False
762,2,18,321.6933807272263,False
763,2,19,321.162497256616,False
764,2,20,311.78216665327795,False
765,2,21,306.45402871889274,False
766,2,22,304.0984248160829,False
767,2,23,304.9232022759132,False
768,2,0,313.622391191355,False
769,2,1,315.7540760450616,False
770,2,2,317.09027923170396,False
771,2,3,325.8804854695732,False
772,2,4,318.9856058821759,False
773,2,5,307.0637023275575,False
774,2,6,307.48719155006864,False
775,2,7,217.84287338487752,False
776,2,8,179.1152232483948,False
777,2,9,171.6217410628094,False
778,2,10,176.54610649248025,False
779,2,11,172.3421754585051,False
780,2,12,179.47682540376402,False
781,2,13,172.23209064079325,False
782,2,14,176.16380246509726,False
783,2,15,186.61078454415585,False
784,2,16,199.96810466522487,False
785,2,17,303.0335441465007,False
786,2,18,321.6933807272263,False
787,2,19,321.162497256616,False
788,2,20,311.78216665327795,False
789,2,21,306.45402871889274,False
790,2,22,304.0984248160829,False
791,2,23,304.9232022759132,False
792,2,0,313.622391191355,False
793,2,1,315.7540760450616,False
794,2,2,317.09027923170396,False
795,2,3,325.8804854695732,False
796,2,4,318.9856058821759,False
797,2,5,307.0637023275575,False
798,2,6,307.48719155006864,False
799,2,7,217.84287338487752,False
800,2,8,179.1152232483948,False
801,2,9,171.6217410628094,False
802,2,10,176.54610649248025,False
803,2,11,172.3421754585051,False
804,2,12,179.47682540376402,False
805,2,13,172.23209064079325,False
806,2,14,176.16380246509726,False
807,2,15,186.61078454415585,False
808,2,16,199.96810466522487,False
809,2,17,303.0335441465007,False
810,2,18,321.6933807272263,False
811,2,19,321.162497256616,False
